		lágyszárúaknál és fáknál				többnyire lágyszárúaknál			csak fáknál				hasonló növény										
Deréce veronika	Veronica beccabunga		fürt	kerekded	fűrészes	ülő	4 tagú	kasmírkék	hengeres				Kedves kék vagy lila virágaikkal a veronika fajok száraz és nedves rétek, erdei utak szép díszei. Nemesített fajtákat pedig a kertünkbe is ültethetünk.  Húsos, vaskos szára félig kúszó, félig felálló. Levelei párosával ülnek a száron, vagy nagyon rövid nyéllel kapcsolódnak hozzá. Tojásdadok vagy kerekdedek, szélük fűrészes. Virágai kasmírkékek vagy égszínkékek, a levelek hónaljából eredő, hosszú hajtásokon fürtöket alkotnak. Tocsogós, vizes élőhelyeket kedvel: patakok partjai, vízgyűjtő árkok partja, ahol állandó a vízborítás. Termése tok. Nyár derekán virágzik.										
Deres varjúháj	Sedum hispanicum		bog	ár	fogas	ülő	5 tagú	fehér	hengeres				A varjúhájak és kövirózsák olyan pozsgás növények, melyek szélsőséges, meleg és rendkívül száraz élőhelyekhez alkalmazkodtak.  Hajtásai nem kúszóak, hanem felemelkedőek. Pozsgás levelei ár alakúak, hengeresek, szórt állásúak, 5-15 mm hosszúak, kékesszürke színűek, hamvasak. Virágai bogernyőben nyílnak, fehér színűek, hat hegyes szirmuk van. A porzószálak vöröses színűek. Tüsző termése van. Mészmentes talajon él, pl. szilikát sziklagyepeken, sziklafalakon. Levélszukkulens, így képes az élőhelyéhez alkalmazkodni. Védett, eszmei értéke 2000 forint.										
Dillenius madársóska	Oxalis dillenii		magányos	összetett	ép	nyeles	5 tagú	sárga	hengeres				Négy madársósak faj él Hazánkban. A latin nevükben szereplő 'oxalis' szó az oxálsav (sóskasav) tartalmukra utal, mely kellemesen savanykás ízüket adja.  Kis termetű, alacsony növényke. Levelei hármasan összetettek, mindhárom levél szabályos szív alakú, kicsípett csúcsú, ép szélű. (A négylevelű madársóskát- Oxalis tetraphylla- dísznövényként ültetik.) Virágai öt tagúak, a fordított tojásdad szirmok sárga színűek. Termése tok, mely a levegő páratartalmának változására reagálva felpattan, és szétszórja apró magjait. Június-júliusban virágzik erdei utak mentén erdőszéleken. A szintén sárga virágú szürke madársóska levelei nem élénk zöldek, hanem vörösesbarna árnyalatúak.										
Duglászfenyő	Pseudotsuga menziesii		toboz	tűlevél	ép	ülő		barna		cserepes	szürkésbarna	toboz	Észak-Amerika nyugati részén elterjedt, ezen a vidéken nagy magasságot ér el. Magyarországon nem őshonos, de elterjedt. Nem állományalkotó, inkább parkfa.  Csapadékos, nedves, hűvös klímájú területeken fordul elő. Hazánkban parkokba ültetik, arborétumokban találkozhatunk vele. Kérge fiatalon sima, szürkésbarna, idősebb korban hosszanti irányban széles repedések szelik át, és színe is sötétebb lesz. Tűi egyesével állnak, puhák, hajlékonyak, csúcsuk kissé hegyes, fényes felületűek, a fonákon a sorban álló légzőnyílások fehér csíkokat alkotnak. A tűk megdörzsölve kellemes narancsillatot árasztanak. A hajtáson körkörös elhelyezkedésűek, az alsó felén ritkábban állnak. Csüngő toboza, világosbarna színű, fellevelei három hegyűek, a tobozpikkelyek közül kinyúlnak. Egyszínű fáját furnérgyártásra használják fel.										
Dunai szegfű	Dianthus collinus		ernyő	szálas	ép	ülő	5 tagú	mikuláspiros	hengeres				Általában száraz, meleg lejtők, bokorerdők, tisztások védett szegfűfaja. Egy hazai alfaja ismert, melynek szára teljesen kopasz, ellentétben az alapfajéval.  Kissé hasonlít a Dianthus deltoides-hez, azonban szirmainak töve nem fehéren, hanem feketén pettyezett, valamint a szirmok szintén sötéten csíkozottak. Az ország középső illetve északkeleti részén jóval gyakoribb mint másutt, ahol csak pontszerű előfordulásai dokumentáltak. A többi rózsaszín-bíbor virágú hazai szegfűfélétől a virága, illetve a levélhüvely alapján lehet elkülöníteni. (A dunai szegfű levélhüvelye nem hosszabb a levéllemez szélességénél.)										
Ebfojtó müge	Asperula cynanchica		örv	szálas	ép	ülő	4 tagú	fehér	szögletes				A galajfélék családját könnyen fel lehet ismerni: virágaik négy tagúak, a leveleik örvben állnak, termésük petymeg.  Kis termetű, felálló vagy elfekvő, karcsú hajtású vadvirág. Szálas levelei ép szélűek, kettesével átellenesen vagy örvösen állnak, nyeletlenek. Virágai kicsik, négy tagúak, fehérek vagy halvány rózsaszínűek, örvökben nyílnak június-júliusban. Termése szőrös. Száraz gyepek, homokos területek, rétek gyakori virága.										
Ebnyelvűfű	Cynoglossum officinale		forgó	lándzsás	ép	ülő	5 tagú	bordó	hengeres				Latin nevében az 'officinale' szó orvosi alkalmazására utal, nevezik orvosi ebnyelvűfűnek is. Köhögés csillapító. Házi alkalmazása mégsem javasolt, mert enyhén mérgező.  20-60 cm-es magasságot elérő, felálló szárú növény. Lándzsa alakú, ép szélű levelit és szárat nagyon finom, fehér szőrök borítják, melyek a növényre simulnak, emiatt selymes tapintású. Alsó levelei tőrózsában állnak, a szárlevelek szórt állásúak. Virágai a levelek hónaljából nyúlnak ki kocsányukon, forgót alkotnak. Virágainak színe érdekes: a bókoló, többed magukkal nyíló, harangalakú virágok ibolyaszínűek vagy vörösesbarnák. Termése négy makkocska, melyek felületén horgas szőrök találhatóak. Ezek a terjedésben segítik a növény, az állatok szőrébe akadnak. Május és június között találkozhatunk vele száraz réteken, kaszálókon, utak szélén.										
Egérárpa	Hordeum murinum																						
Egybibés galagonya	Crataegus monogyna		bog	karéjos	ép	nyeles		fehér		repedezett	barna	csonthéjas	A Csere galagonyához hasonlóan egész Európában őshonos, a terméketlen homoktalajokon kívül szinte minden erdőszegélyen megtalálható.  Kérge barna színű, a fiatal hajtásokon és vesszőkön gyakran található 1 – 2 centiméteres tövis. Levelei mélyen karéjosak, a levél fonákán az érzugok molyhosak. Nevét a virágában található egy bibeszálról kapta, a húsos termésburok mögött is csak egy darab mag fejlődik.										
Egyenes iszalag	Clematis recta		fürt	szárnyalt	ép	nyeles	4 tagú	fehér	hengeres				Magyarországon több iszalag faj is előfordul, köztük a védett réti és havasi iszalag, valamint a fák koronájába is felkapaszkodó erdei iszalag. Az egyenes iszalag nem kúszik, szára felálló.  Levele, virága vagy termése alapján könnyen erdei iszalagnak lehet nézni, de ezzel ellentétben soha nem csavarodik fákra, bokrokra, hajtása csupán méter -másfél méterre nő meg, míg az erdei több tíz méteres is lehet. Levelei páratlanul szárnyaltak, keresztben átellenesen állnak. A levélkék lándzsásak, vagy keskeny szív alakúak, a szélük ép. Fonákuk kékesen hamvas. A virágok laza fürtben nyílnak a szár csúcsán, hosszú kocsányokon. Halvány krémszínűek, sárgásfehérek, négy szirom és számtalan porzó alkotja őket. Termése a többi iszalagéhoz hasonló aszmag, a repítő szőrös magok szára csavarodott, így fúrja be magát a földbe. Május-júniusban virágzik erdőszéleken, üde gyertyánosokban, napsütötte tölgyesekben, sziklatörmelékes lejtőkön, változatos élőhelyeken.										
Egyenes pimpó	Potentilla recta		bog	összetett	fűrészes	nyeles	5 tagú	sárga	hengeres				A Potentilla nemzetség tagjai fehér vagy sárga színű virágokkal büszkélkedhetnek. Közös jellemzőjük, hogy jellegzetes "rózsa-virágok", öt darab, többnyire kicsípett csúcsú, ezáltal szív alakú szirom alkotja őket.  Megjelenésében nagyon hasonlít a vérontófűhöz. (Még latin nevük is igen hasonló: Potentilla erecta és P. recta). Az egyenes pimpó szára felálló, majdnem egy méter magasra is megnőhet. A szár a felső részén elágazó. A hajtás és a levelek szőrösek. Levelei összetettek, a levélkék fordított tojásdadok, szélük fűrészes, számuk 5 vagy 7. A virágok öt tagúak, a szirmok szív alakúak, halvány sárgák. Májustól akár szeptember végéig is virít réteken, erdőszéleken.										
Egyvirágú gyöngyperje	Melica uniflora		magányos	szálas	ép	szárölelő	redukált	sárga	hengeres				Erdőtípusjelző növény: bükkösök, sziklaerdők, gyertyános-tölgyesek, cseres-tölgyesek, bokorerdők növénye, száraz vízgazdálkodási fokot és a talaj mésztartalmát mutatja.  30-60 cm magasra megnövő, gyepes növekedésű faj. Szára a fűfélékre jellemző szalmaszár, hengeres. Levelei kopaszok, párhuzamos erűek, szálasak, a szárhoz levélhüvellyel kapcsolódnak. Tavasszal először ezek jelennel meg, majd a virágzat. Virágai laza bugában nyílnak, sárgák, sárgásfehérek. Gyökere laza szövedéket alkot az erdő talaján. Május környékén virágzik.										
Egyvirágú körtike	Moneses uniflora		magányos	kerekded	csipkés	tőálló	5 tagú	fehér	hengeres				A körtikék nevüket valószínűleg a virágok alakjáról kaphatták, ezek ugyanis úgy néznek ki, mintha apró körték lennének. Három nemzetség is él Magyarországon.  Apró termetű, mindössze 5-15 cm magas, könnyen azonosítható faj. Kerekded, nyélben keskenyedő (lapátszerű) levelei tőállóak, a szár levéltelen. A levelek kopaszok, csipkés szélűek. A virágok magányosan nyílnak ( az összes többi hazai fajnak több virága van), a szirmok fehérek, tojásdadok, szétállóak, a virág kb. 1 cm átmérőjű ( ez is segít az elkülönítésben). A porzók a szirmokhoz simulnak, a bibe kinyúlik, csúcsán kiszélesedik. Termése tok. Mészmentes talajú fenyvesek, bükkösök védett faja (eszmei értéke 5000 forint), nálunk nagyon ritka, veszélyeztetett.										
Enyves aszat	Cirsium erisithales		magányos	osztott	fogas	ülő	fészek	sárga	hengeres				A fészkesek közé tartozó aszatok Hazánkban sokfelé előfordulnak. Virágaik általában nagy méretűek, így kitűnnek környezetükből. Többnyire rózsaszínben vagy lilában pompáznak, de előfordul köztük kivétel is-például az enyves aszat.  Az enyves aszat egy méternél is magasabbra nőhet. Levelei keskenyek, lándzsa alakúak. A levéllemez erősen tagolt: majdnem a levélgerincig, mélyen szeldeltek a levelek. A levélszél öblösen fogas. Virágai szokatlan módon bókolóak, mintha túl nehezek lennének s a szár nem bírná el súlyukat. A halovány sárga csöves virágokból álló virágzat bozontosnak tűnik. Nevét a ragdós fészekpikkelyek miatt kapta. Termése kaszat. Július és augusztus hónapban díszítik virágai az árnyékos erdők szélét, árnyas szikla-és szurdokerdőket. Úgynevezett reliktum (maradvány) faj. Hazánkban védett, eszmei értéke 2000 forint.										
Enyves zsálya	Salvia glutinosa		fürt	szív	fűrészes	nyeles	ajakos	sárga	szögletes				Mással össze nem téveszthető nagy termetű zsályaféle. Nevét a virágot és a szár felső részét borító mirigyes „enyves” felületről kapta.  Akár egy méteres magasságot is elérő zsályaféle. Nevét a virágot és a szár felső részét borító mirigyes „enyves” felületről kapta. Virágszíne kénsárga, a szirmok felülete barnán pettyezett. Családjának egyik tagjával sem téveszthető össze. Levelei szív alakúak, szélük fűrészes a szárhoz nyéllel kapcsolódnak. Hazánkban minden magasabb hegységben előfordul, a tölgyesekben a második koronaszint hiányát jelzik. Típusjelző növény (Majer Antal: Típusjelzők)										
Eper gyöngyike	Muscari botryoides		fürt	szálas	ép	tőálló	forrt	kék	hengeres				Az eper és fürtös gyöngyikét Szent György virág néven is szokták említeni, mert e körül a dátum körül szoktak virítani. Ám e fajokon kívül még más virágokat is illetnek ezzel a névvel- például a kétlevelű árnyékvirágot.  Az epergyöngyike apró termetű, ám mégis könnyen észrevehető tavaszi virág. Felálló szára nem ágazik el. Szálas leveleinek vége összenőtt, mintegy csuklyaszerűen borul össze. A virágok-az elnevezéshez hűen- apró gyöngyökre hasonlítanak összeforrt lepleikkel, a pici harangocskák szegélye fehér. Szárvégi fürtben nyílnak. Termése tok. Április és május között virágzik napsütötte réteken, sziklagyepek szélén, erdőkben. Védett, eszmei értéke 5000 forint.										
Eper here	Trifolium fragiferum		fejecske	összetett	ép	nyeles	pillangós	rózsaszín	hengeres				A Trifolium népes családjának tagja, legjobban a fehér herére (""lóhere"") hasonlít, de néhány apróság alapján könnyű elkülöníteni.  Mintegy 5-15 cm magas, kúszó szárú növényke. Levelei hármasan összetettek, az egyes levélkék oválisak, csúcsuk mélyen kicsípett, nincs rajtuk fehér rajzolat( a fehér herének van). A pillangós virágok fejecske virágzatot alkotnak, halvány rózsaszínűek. A csésze éréskor felfúvódik, a terméscsoport éretlen eperszemre hasonlít, innen kapta a nevét, és ez a másik fontos határozóbélyeg. A csészék molyhosak. Termése hüvely. Nedves, szikesedő talajú rétek virága. Júniustól szeptemberig virít.										
Erdei aggófű	Senecio sylvaticus		bog	hasogatott	fogas	lefutó	fészek	sárga	hengeres				Elterjedt kerti, árokparti gyomnövény. Régen a frissen leszedett növényt vérzéscsillapításra használták.  Nitrogénban gazdag kerteket, tarlókat kedvelő növény. Virágai sárga színűek, henger alakúak. Görcsoldó, belső vérzést csillapító hatása miatt régóta ismert növény. Mivel a görcsoldó hatásai mellett a májat is erősen mérgezi ma már csak a gyógyszeriparban használják, a népi gyógyászatból kiszorult.										
Erdei angyalgyökér	Angelica sylvestris		ernyő	szárnyalt	fűrészes	nyeles	5 tagú	fehér	hengeres				Sokoldalúan hasznosítható gyógynövény: gyomor-és bélbetegségek ellen használják, illetve teakeverékben vértisztító hatású. Fűszernövény is, főzelékként fogyasztható.  Nagy termetű növény, számára kedvező élőhelyen akár két méteres magasságot is elérhet. Hengeres szára elágazik, belül üreges. Levelei páratlanul szárnyaltak, a levélkék ép levéllemezűek , a szélük fűrészelt. Széles, halványzöld, feltűnő erezetű levélhüvellyel kapcsolódnak a szárhoz. A virágok is a levélhüvelyből nőnek ki. A virág több kis ernyőcskéből álló ernyő virágzat. A virágok fehérek vagy halvány rózsaszínűek. A dús ernyővirágzat csaknem gömb alakú. Termése ikerkaszat, ilyen termése van például a kapornak. Nedves, üde helyeken, például patakok partján találkozhatunk vele.										
Erdei békaszem	Omphalodes scorpioides		magányos	lándzsás	ép	ülő	5 tagú	kék	hengeres				Leginkább egyes nefelejcs fajokra hasonlító kétéves életciklusú növény. Nemzetségének egyetlen hazai képviselője.  Alföldi ligeterdők, illetve valamint sziklás hegyvidéki erdők faja. Magányosan álló virágai 1 - 2 centiméteres kocsányon fejlődnek, szára és tojásdad alakú levelei általában szőrösek, nagyritkán kopaszok. Jellegzetes határozóbélyege, hogy az alsó levelek rövid nyéllel kapcsolódnak a szárhoz, viszont a felső levelei már ülők.										
Erdei borkóró	Thalictrum aquilegifolium		buga	szárnyalt	csipkés	nyeles	egyedi*	levendula	hengeres				Magyarországon hét borkóró faj fordul elő, ezek közül három ritkább, védett. Legfeltűnőbb közülük az erdei borkóró virága.  Majdnem egy méter magasra növő vadvirág. Felálló szára kopasz. Levelei összetettek, többszörösen szárnyaltak. A levélkék hamvasak, kerekdedek vagy tojásdadok, csipkés szélűek. Nagyon hasonlítanak a szintén boglárkafélékhez tartozó harangláb leveleihez (latin nevében szerepel is az Aquilegium szó). Virágai jellegzetesek, "tollpamacs" szerűek, a hosszan kinyúló porzószálak miatt. A virágszín alapján könnyen meg lehet különböztetni a többi fajtól, mivel ezek sárga vagy fehér színűek. Termése aszmag. Május-júliusban virágzik. Előfordulása: bokorerdők, erdei utak széle, száraz, néha üde lomberdők. Védett, eszmei értéke 5000 forint.										
Erdei ciklámen	Cyclamen purpurascens		magányos	kerekded	ép	nyeles	5 tagú	lila	hengeres				A Ciklámenfélék nemzetségének egyetlen őshonos hazai fajtája. Dekoratív levele és virága miatt kedvelt kerti dísznövény.  Magyarországon egyedül az Alpokalján találkozhatunk őshonos populációival. Hasonlóan a téltemetőhöz, ez a növény is jóval gyakoribb a környező országok (elsősorban az Alpok) magashegységeiben. A még nem virágzó, vagy elvirágzott példányokat is könnyen felismerhetjük a kékes-zöld foltos levelekről. Virágának színe leggyakrabban a lila valamelyik árnyalata, de léteznek fehér, vagy rózsaszín virágú példányai is. A virágok magányosan állnak a 15 – 20 centiméteres szár végén, a porzók és a bibe kiemelkedik a sziromlevelek alkotta pártából. Hazánkban védett, természetvédelmi értéke 5000 Ft.										
Erdei csillagfürt	Lupinus polyphyllus		fürt	összetett	ép	nyeles	pillangós	fehér	hengeres				Gyökerén a légköri nitrogén megkötésére alkalmas gyökérgümők találhatóak. Kertekbe dísznövényként ültetik. Latin neve Lupinus (farkas) a levelek farkasnyomra emlékeztető alakjára utal.  70-120 cm magasra nő meg, szára egyenes, hengeres, felálló, felső részén vörösesbarna színű. Levelei tőállóak, hosszú nyelűek, tenyeresen összetettek. 9-17 lándzsás, ép szélű, hegyes csúcsú, finoman szőrös levélke alkotja. Pillangós virágú, a virág többnyire lila színű, de előfordul rózsaszín, fehér, sárga színű is. Hosszú, tömött, elkeskenyedő fürtben nyílnak-alulról fölfelé. Termése fekete, szőrös hüvely, amely megszáradva felnyílik, és kipotyognak az apró barna vagy fekete, ovális magok(3-9 db). A száraz terméshüvely két „szárnya” csavarodott. A nyers magok mérgezőek! Június- szeptemberben virágzik. Réteken, útszéleken, mészszegény, bolygatott talajokon fordul elő.										
Erdei csillaghúr	Stellaria nemorum		bog	lándzsás	ép	ülő	5 tagú	fehér	hengeres				A szegfűfélékre jellemző a keresztben átellenes levélállás, a forrt csésze. Általában fénykedvelők.  20-50 cm magasra nővő faj. Szára hengeres, törékeny, szőrös. Alsó levelei nyelesek, alakjuk szíves tojásdad. Felső levelei rövid nyelűek, tojásdad-lándzsa alakúak, a száron legfelül található levelek ülök. Keresztben átellenes állásúak, szélük ép, csúcsuk hegyes. Fehér színű virágai laza bogban nyílnak. A szirmok nem hosszabbak egy cm-nél, mélyen, majdnem a tövükig kettéhasadtak. A csészelevelek fele olyan hosszúak, mint a szirmok. Termése tok. Június-júliusban virít. Üde gyertyános és bükkelegyes erdők virága.										
Erdei csitri	Moehringia trinervia		magányos	tojásdad	ép	lefutó	5 tagú	fehér	hengeres				Nemzetségének két hazánkban is őshonos képviselője közül ez a faj jóval gyakoribb megjelenésű, mint a Mohos csitri. A két faj egymástól alapvető tulajdonságaikban tér el, így ezt a fajt néhány stellaria fajjal lehet összetéveszteni.  Európa nagy részén, így hazánkban is őshonos, aránylag gyakori faj, elsősorban az erdők árnyékos, nedvesebb részeit kedveli, ellentétben a Mohos csitrivel inkább mészkerülő. Levelei és szára egyaránt szürkén molyhosak, a keresztben átellenes álló szárölelő levelek enyhén lefutóak. Virágai általában magányosan állnak, a hegyes csészelevelek jelentősen túlnyúlnak a szirmokon.										
Erdei csormolya	Melampyrum sylvaticum		füzér	lándzsás	ép	ülő	egyedi*	sárga	hengeres				Régi neve pl. a cserme, csermely, csermolya, csörmölye. A tátogatófélék családján belül felső ajkának visszahengeredő széle különbözteti meg a csormolyákat.  Szára felálló vagy felemelkedő, a növény 15-25 cm magas. Egyéves. Levelei ép szélűek, szálas vagy tojásdad lándzsásak, ülők. Sárga színű virágai egy oldalra néző füzérben nyílnak felállóak. 0,5-1 cm nagyságú pártája felül meghajlik, teljesen nyitott. A csésze a pártacső kb. egyharmadáig ér. Enyhén mérgező. Május- augusztusban virít lomb-és fenyőerdőkben, hegyi réteken, fenyéreken. Hazánkban nem honos, a fényképek Szlovákiában készültek.										
Erdei deréce	Chamaenerion angustifolium		fürt	lándzsás	ép	ülő	5 tagú	mikuláspiros	hengeres				Tölgyesek vágásterületein néha tömegesen jelenik meg, élénk színű foltot alkotnak akár méter hosszú virágfürtjei.  Felálló szára egyenes, ebből néha a virágzati tengely maga egy méter. Levelei lándzsa alakúak, szélük finoman fűrészes, enyhén hullámosak. A száron szórtan helyezkednek el. Bíborrózsaszín virágai a csúcs felé keskenyedő fürtben nyílnak. Termése tok, mely szárnyas magokat tartalmaz. Június és augusztus között ékesíti az erdőket, vágásokat, útszéleket.										
Erdei estike	Hesperis sylvestris		fürt	lándzsás	fogas	ülő	4 tagú	levendula	hengeres				Magyarországon négy estike faj fordul elő, ebből kettő védett egy pedig fokozottan védett. Az aránylag gyakori erdei estike nem védett.  Nagy termetű, leveles szárú, egy méteres magasságot is meghaladó faj. A levelek lándzsás alakúak, szélük öblösen fogas vagy durván fűrészes. Virágai lapított fürtben nyílnak. A virágok 4 tagúak, a fordított tojásdad vagy elliptikus szirmok halványlilák vagy fehérek. A termés becő. Júniusban virágzik lomberdőkben.										
Erdei fenyő	Pinus sylvestris		toboz	tűlevél	ép	ülő		barna		cserepes	szürke	toboz	Egész Európában megtalálható, hazánkban az erdőtelepítések következményeként szinte mindenhol találkozhatunk vele az árterek kivételével. Az alföld fásításánál fontos szerepet töltött be.  A magyarországi állományalkotó fenyőfélék közül ez a faj rendelkezik a legnagyobb területaránnyal. Jól tűri a termőhelyi szélsőségeket, legjobb növekedést barna erdőtalajon produkál. Az árnyalást nehezen tűri, a fényigényes fafajok közé tartozik. Bolygatott talajon, felhagyott bányák területén gyakran találkozhatunk a Bibircses nyírrel együtt alkotott pionír jellegű erdőtársulásával. Gyors terjedését a termőhellyel szemben támasztott igénytelensége mellett nagyban köszönheti a rendkívül jó csíraképességű magjának is. Kérge fiatalon vékony, vörös színű, később megvastagszik, barnásvörös árnyalatot vesz fel. Tűi csavarodottak, 4-6 centiméter hosszúak, zöld színűek. A Lucfenyővel ellentétben nem tányér, hanem karógyökeret fejleszt, így a széldöntésre nem érzékeny, nagy fajgazdagságú rovarkárosítója miatt nagy odafigyelést igényel.  Kertészeti felhasználás  A magyarországi állományalkotó fenyőfélék közül ez a faj rendelkezik a legnagyobb területaránnyal. Jól tűri a termőhelyi szélsőségeket, legjobb növekedést barna erdőtalajon produkál. Az árnyalást nehezen tűri, a fényigényes fafajok közé tartozik. Bolygatott talajon, felhagyott bányák területén gyakran találkozhatunk a Bibircses nyírrel együtt alkotott pionír jellegű erdőtársulásával. Gyors terjedését a termőhellyel szemben támasztott igénytelensége mellett nagyban köszönheti a rendkívül jó csíraképességű magjának is. Kérge fiatalon vékony, vörös színű, később megvastagszik, barnásvörös árnyalatot vesz fel. Tűi csavarodottak, 4-6 centiméter hosszúak, zöld színűek. A Lucfenyővel ellentétben nem tányér, hanem karógyökeret fejleszt, így a széldöntésre nem érzékeny, nagy fajgazdagságú rovarkárosítója miatt nagy odafigyelést igényel.										
Erdei füzike	Epilobium montanum		magányos	lándzsás	csipkés	ülő	4 tagú	rózsaszín	hengeres				Gyógynövényként a prosztata betegséget ellen és gyulladás csökkentőként alkalmazzák.  A borzas füzikéhez képest sokkal kisebb termetű növény. Szára vékony, finoman szőrös. Levelei tojásdad lándzsásak, szélük lehet csipkés vagy fűrészes, a szárhoz nyél nélkül kapcsolódnak. Virágai halvány rózsaszínűek, egyesével nyílnak a hajtások végén. Egy-egy növényen csak kevés kicsípett szirmú virág látható. Termése hosszú tok, mely számos magot rejt. Ezek repítőszőrükkel terjednek. Június és szeptember között találkozhatunk vele üde erdők talaján, sövények alatt.										
Erdei gólyaorr	Geranium sylvaticum		magányos	osztott	fogas	nyeles	5 tagú	mikuláspiros	hengeres				Virágaik lehetnek néhány mm-esek, de akár több cm átmérőjűek is. Poros utak mentén, patakvölgyekben, havasi réteken díszlenek.  A nagyobb termetű gólyaorrok közé tartozik, 15-50 cm magasra nő meg. A levelek mélyen osztottak, 5-7 osztatúak, melyek még további cimpákra hasadtak, fűrészes szélűek. A nagy, 1-2 cm átmérőjű virágok bíborrózsaszín színűek, öt szirmúak, magányosak vagy kettesével nyílnak. Az egész növény mirigyszőrös. A termés jellegzetes alakú, felálló "gólyaorr" termés, mely felhasadva szétszórja a magokat. Hegyi rétek, tisztások, irtásrétek, erdőszélek, vágások növénye, mely nyár elején virágzik. Védett, eszmei értéke 2000 forint.										
Erdei gyömbérgyökér	Geum urbanum		magányos	szárnyalt	fűrészes	ülő	5 tagú	sárga	hengeres				Nincs rokonságban a valódi gyömbérrel, nevét valószínűleg erős, aromás illata miatt kapta. Népi nevei között szerepel a vadszegfű, vagy a szegfűillatúfű, használják likőrök izésítésére, szegfűzszeg pótlására is. Gyógynövény, ehető is, de gyökere enyhén mérgező.  Vékony, felálló szára 15-70 centiméter magasra nő meg, szőrös. Tőlevelei páratlanul szárnyaltak, a levélkék közül az első két pár a legkisebb, a többi nagyobb, legnagyobb a csúcslevél. Széles lándzsa alakúak, fűrészes szélűek, nyelesek, fiatalon salátaként fogyaszthatóak. A felsőbb szárlevelek egyszerűbbek, lándzsa alakúak, szintén fűrészes szélűek. A szár elágazik, ezeknek a csúcsán nyílnak a magányos, sárga virágok. A szétálló szirmok kerekek vagy tojásdadok, csúcsuk ép. A csészelevelek hegyesek. A nagyszámú porzók pirosak. Termése horgas szőrökkel borított aszmag. Májusban ás júniusban virágzik erdei utak szélén, tölgyesekben, patakok partján, árnyas-nyirkos helyeken.										
Erdei gyöngyköles	Lithospermum purpurocaeruleum		bog	lándzsás	ép	nyeles	5 tagú	kék	hengeres				Száraz, meleg, úgynevezett xeroterm erdők típusjelzője, tölgyesekben, bokorerdőkben, síksági tölgyesekben találkoztunk vele. A meszes talajokat kedveli.  40-60 cm-re nő meg. Virágos és meddő hajtások is fejlődnek, ez utóbbiak legyökeresedve a növény szaporodását biztosítják. Ennek segítségével nagy, egybefüggő foltokat alkothat. Levelei lándzsa alakúak, szórtan állnak a száron, szőrösek, de kevésbé, mint általában ebben a növénycsaládban. Virágai a szár végén bogban nyílnak. Színük a virágzás idejétől függően változik, eleinte vöröses árnyalatúak, később lesznek égszínkékek. Termése fényes, kemény, fehér makkocska, melyről nevét is kapta: méretben egy kölesszemre hasonlít, de küllemre olyan, mint egy pici gyöngy. Május- júniusban virít erdőszéleken, cserjésekben, erdőkben.										
Erdei gyopár	Gnaphalium sylvaticum		füzér	lándzsás	ép	ülő	fészek	barna	hengeres				A gyopárok virágai aprók, jellegtelenek, leveleik szőrös-molyhosak. Legismertebb a havasi gyopár, melynek szőrös levelei tűnnek virágnak.  Karcsú szárú évelő, nem ágazik el. A szár és a levelek egyaránt finoman, selymesen molyhosak. A levelek szálasak vagy lándzsás alakúak, puhák, világoszöldek, ép szélűek. A kicsi, jelentéktelen csöves virágok barnák vagy sárgás színűek, füzért alkotnak. A termés kaszat. Savanyú talajú fenyvesek, hegyi rétek, üde élőhelyek növénye. Nyáron virágzik.										
Erdei here	Trifolium medium		fejecske	összetett	ép	nyeles	pillangós	mikuláspiros	hengeres				A here (Trifolium) nemzetség igen sok fajt ölel fel, változatos színűek és méretűek: vannak olyanok, amiknek virágzata borsszemnyi (apró here), esetleg cseresznye nagyságú (vörös here), lehetnek sárga, rózsaszín, fehér, bíbor vagy lila színűek.  Élénk virágai messziről szembetűnnek. Hengeres szára felálló, enyhén elágazó, vörössel futtatott lehet. A here fajok levelek hármasan összetettek (latin nevüket is erről kapták). Az erdei here levélkéi tojásdad-lándzsásak, ép szélűek, a levélerek halványabbak, sárgás színűek, szép rajzolatot adnak. A levélnyél 1-5 cm. A virágok a szártagok csúcsán nyílnak, magányos fejecskékben. A hegyes szálas-csészék finoman molyhosak. A virágok nagyon szépek, élénk bíbor rózsaszínek, a vitorla sötéten csíkozott. Az evezők halvány rózsaszínek, szélük sötétebb. Termése hüvely. Május-június folyamán virágzik.										
Erdei hölgymál	Hieracium murorum		magányos	lándzsás	fogas	nyeles	fészek	sárga	hengeres				A hölgymál nemzetség tagjai igen nehezen határozhatóak, mivel nagyon hasonlítanak egymáshoz a fajok, gyakran egész apró határozóbélyegek különböztetik meg őket, ráadásul hibridizálnak.  Karcsú, elágazó szára 20-60 cm magasra nő meg. Tőálló levelei nyelesek. A levelek széles lándzsásak vagy tojásdadok, szélük öblösen fogas. Enyhén molyhos-pillásak. A sárga színű fészekvirágzatok laza sátorozó virágzatot alkotnak. Termése szőrbóbitás kaszat. Május-júniusban virágzik erdei utak szélén, vágásokban, lomberdők gyepszintjében.										
